Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive & not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive & not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Pricy and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive & not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food 'Costly' and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very bad .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very 'fine' .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive or not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very great .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very bad .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bistro food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Pub food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and 'Bad' very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and Not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Pricy and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food 'Costly' and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and bad very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and Not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and neither very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Saloon food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not Extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and bad very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and bad very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bistro food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive or not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bistro food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Tapas food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Pricy and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very 'fine' .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and bad very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very bad .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Pub food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Saloon food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and Not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and  very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and 'Bad' very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and Not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not Extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and Not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive also not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not excessive good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive or not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive also not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bistro food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very 'fine' .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and neither very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive or not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very great .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food costly and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Pricy and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not 'extremely' good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Pub food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and neither very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very nice .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not extremely good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive but not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food Pricy and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Tapas food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Tapas food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Stadium food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and  very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very excellent .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and  very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and 'Bad' very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive also not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive also not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Saloon food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very excellent .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and  very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive or not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Tapas food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Pub food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive But not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very good .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
Bar food expensive and not very 'fine' .####[['food', 'food_drinks quality', 'negative'], ['food', 'food_drinks prices', 'negative']]
The hotel itself is in excellent condition and our room was clean and very relaxing .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and excellent comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was neat and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and my room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in fine condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in superb condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and very relaxing .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room 'were' clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself was in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and very Relaxing .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition too our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel ourselves is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself appears in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself  in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and my room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was Spotless and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition & our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in superb condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
A hotel itself is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in Superb condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel herself is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The itself is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and extremely comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in outstanding condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel 'themselves' is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition also our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and theirs room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is at excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in fine condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
The hotel itself is in excellent condition and our room was clean and very comfortable .####[['room', 'rooms cleanliness', 'positive'], ['room', 'rooms comfort', 'positive'], ['hotel', 'hotel general', 'positive']]
