\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_recall,rest15_asqp_recall,rest16_tasd_recall,rest16_asqp_recall,flightabsa_tasd_recall,flightabsa_asqp_recall,coursera_tasd_recall,coursera_asqp_recall,hotels_tasd_recall,hotels_asqp_recall,tasd_avg,asqp_avg
10,EDA \textbackslash w DLO,60,60,24.355029585798814,8.955974842767295,18.09080325960419,10.763454317897372,18.752362948960304,10.610169491525422,26.10655737704918,10.756972111553784,23.30683624801272,7.1012482662968095,22.12231788388504,9.637563806008135
10,EDA \textbackslash w DLO,110,110,27.31360946745562,9.358490566037736,19.022118742724096,11.188986232790988,19.62192816635161,10.16949152542373,26.598360655737707,11.99203187250996,23.942766295707475,6.990291262135922,23.299756665595304,9.939858291779668
10,QAIE,26.4,45.2,16.24401913875598,8.194622279129323,10.239808153477219,12.836601307189543,14.734848484848484,12.42320819112628,22.563025210084035,15.813953488372096,17.18849840255591,8.188736681887367,16.194039877944327,11.49142438954092
50,['k-shot Gemma'],50,50,57.15976331360947,39.24528301886793,65.77415599534342,48.06007509386733,62.948960302457465,45.2542372881356,39.75409836065574,21.713147410358566,56.91573926868044,37.17059639389736,56.510543448149306,38.288667841025365
50,Paraphrase,50,50,34.603550295857985,26.61635220125786,34.66192170818506,23.2540675844806,31.379962192816635,17.423728813559325,31.434426229508198,18.20717131474104,36.05095541401273,22.586926286509037,33.62616316807612,21.61764924010957
50,DLO,50,50,38.650887573964496,28.603773584905657,43.32945285215367,30.062578222778473,43.89413988657845,29.220338983050844,33.31967213114754,17.888446215139442,41.01748807631161,25.991678224687934,40.04232810403115,26.35336304611247
50,LLMA \textbackslash w Paraphrase,full,full,52.49704142011834,37.0062893081761,61.11506524317912,46.15769712140175,60.7561436672968,46.30508474576271,42.5,24.42231075697211,56.401273885350314,40.75104311543811,54.65390484318891,38.92848500955016
50,LLMA \textbackslash w DLO,full,full,55.14792899408284,40.52830188679245,60.65192083818393,50.06257822277848,62.26843100189036,48.949152542372886,42.459016393442624,24.50199203187251,57.77424483306836,42.108183079056865,55.660308412133624,41.23004155257463
50,EDA \textbackslash w Paraphrase,300,300,40.68639053254437,29.358490566037734,41.20996441281139,29.236545682102626,40.90737240075615,29.694915254237287,34.877049180327866,19.840637450199203,41.847133757961785,27.093184979137693,39.90558205688031,27.044754786342914
50,EDA \textbackslash w Paraphrase,550,550,40.23668639053254,29.257861635220127,41.56583629893238,29.812265331664584,39.92438563327032,30.474576271186443,33.975409836065566,20.199203187250994,40.0,27.28789986091794,39.14046363176016,27.406361257248015
50,EDA \textbackslash w DLO,300,300,43.38461538461539,30.641509433962263,46.05355064027939,34.1927409261577,45.97353497164461,35.42372881355932,36.47540983606557,22.151394422310755,42.1939586645469,31.317614424410543,42.816213899430366,30.745397604080118
50,EDA \textbackslash w DLO,550,550,42.485207100591715,30.742138364779873,44.40046565774156,34.317897371714636,44.53686200378071,35.38983050847458,36.02459016393443,23.067729083665338,41.84419713831478,31.595006934812766,41.85826441287263,31.02252045268944
50,QAIE,141.8,248.8,41.698564593301434,32.77848911651729,42.302158273381295,33.464052287581694,45.56818181818181,31.331058020477816,34.87394957983194,21.441860465116278,44.60063897763579,33.51598173515981,41.808698648466454,30.50628832497058
full,Paraphrase,full,full,-,47.72,-,59.3,69.26275992438563,58.16949152542372,51.02459016393443,32.62948207171315,67.0063694267516,55.18776077885953,62.43123983835722,50.60134687519927
full,DLO,full,full,-,49.33,-,61.8,69.30056710775048,60.101694915254235,52.377049180327866,33.067729083665334,68.71224165341813,56.56033287101248,63.463285980498824,52.1719513739864
